name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal
Buffalo Rehab Group,healthcare:physiotherapist,350 Greenhaven Terrace,Tonawanda,NY,14150,+1 716 213 0772,,,way,976780500,https://www.openstreetmap.org/way/976780500,43.0077513,-78.8237726,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Buffalo Rehab Group Physical Therapy,office:therapist,2100 Union Road,Buffalo,NY,14224,+1-716-656-8600,,,way,549067720,https://www.openstreetmap.org/way/549067720,42.8571141,-78.7552061,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Buffalo Save & Go,shop:yes,1220 Hertel Avenue,Buffalo,NY,14216,+17163221098,,,node,9291512972,https://www.openstreetmap.org/node/9291512972,42.947922,-78.8630126,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Burger Authority,amenity:fast_food,3476 Main Street,Buffalo,NY,14214,+17168335000,,,node,9295565907,https://www.openstreetmap.org/node/9295565907,42.9572726,-78.8197111,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
C Training,leisure:fitness_centre,3152 Main Street,Buffalo,NY,14214,+1-585-627-3860,,,way,389223968,https://www.openstreetmap.org/way/389223968,42.9504995,-78.8270593,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
CAE Gallery,tourism:gallery,1555 Hertel Avenue,Buffalo,NY,14216,+1-716-336-4606,,,node,9291386852,https://www.openstreetmap.org/node/9291386852,42.9475223,-78.8504589,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Café On The Avenue,amenity:cafe,1240 Hertel Avenue,Buffalo,NY,14216,+17168772233,,,way,739745128,https://www.openstreetmap.org/way/739745128,42.947956,-78.8623365,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"Calnon & Cilano, D.D.S., P.C.",amenity:dentist,3220 Chili Avenue Unit 1,Rochester,NY,14624,+1 585 889 2559,,,way,288482223,https://www.openstreetmap.org/way/288482223,43.1056104,-77.7502736,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cameron's 24 Hour Store,shop:convenience,1054 Elmwood Avenue,Buffalo,NY,14222,+17168862424,,,way,876586569,https://www.openstreetmap.org/way/876586569,42.9258909,-78.8772398,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Canalside Wine & Spirits,shop:alcohol,14 Webster Street,North Tonawanda,NY,14120,+1 716 260 1598,,,way,771471661,https://www.openstreetmap.org/way/771471661,43.0223029,-78.8782126,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Canton Eatery,amenity:restaurant,2351 Buffalo Road,Rochester,NY,14624,+1 585-510-6886,,,way,203048080,https://www.openstreetmap.org/way/203048080,43.1461409,-77.712866,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Capo U.S. Inc.,office:insurance,3710 Delaware Avenue,Buffalo,NY,14217,+1 716 871 0045,,,way,1051649819,https://www.openstreetmap.org/way/1051649819,42.9852729,-78.8733335,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Carstar Collision of Amherst,shop:car_repair,2915 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716 639 0777,,,node,8999646861,https://www.openstreetmap.org/node/8999646861,43.0337096,-78.8215891,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Casa Bonita Furniture & Mattresses,shop:furniture,491 Grant Street,Buffalo,NY,14213,+17165331455,,,way,885707822,https://www.openstreetmap.org/way/885707822,42.9273376,-78.8891234,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Center Ice Sports Cards,shop:collector,11 Glenalby Road,Tonawanda,NY,14150,+1 716 957 3742,,,node,9802611176,https://www.openstreetmap.org/node/9802611176,42.997641,-78.8230839,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chan's Wok,amenity:restaurant,796 Young Street,Tonawanda,NY,14150,+17166938888,,,node,8660391665,https://www.openstreetmap.org/node/8660391665,43.0029865,-78.8596084,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chateaux of Beauty,shop:hairdresser,945 Genesee Street,Rochester,NY,14611,+1 585-284-0268,,,node,5473276322,https://www.openstreetmap.org/node/5473276322,43.1314859,-77.6361703,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chayban Tailors,shop:tailor,1606 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 833 0379,,,node,9802611188,https://www.openstreetmap.org/node/9802611188,42.9983713,-78.8228692,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chez Elle Beauty Salon,shop:hairdresser,84 Sweeney Street Unit 12,North Tonawanda,NY,14120,+1 716 692 9414,,,node,9053852288,https://www.openstreetmap.org/node/9053852288,43.022174,-78.8769436,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chick's Barbershop,shop:hairdresser,1222 Hertel Avenue,Buffalo,NY,14216,+1-716-874-0690,,,node,9291512971,https://www.openstreetmap.org/node/9291512971,42.9479193,-78.8629573,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chico's,shop:clothes,5151 Main Street Unit 300,Williamsville,NY,14221,+1 716 634 3794,,,node,9569676928,https://www.openstreetmap.org/node/9569676928,42.9598602,-78.7605543,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chili Family Dentist,amenity:dentist,4369 Buffalo Road,North Chili,NY,14514,+1 585-488-5556,,,way,429382086,https://www.openstreetmap.org/way/429382086,43.1196072,-77.8046636,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chim's Oasis,amenity:restaurant,38 Niagara Street,Tonawanda,NY,14150,+1-716-692-2700,,,node,7204532917,https://www.openstreetmap.org/node/7204532917,43.020773,-78.8799026,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
China Jade,amenity:restaurant,3162 Bailey Avenue,Buffalo,NY,14215,+17168381887,,,way,1020481790,https://www.openstreetmap.org/way/1020481790,42.940812,-78.8139905,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
China King,amenity:restaurant,3500 Main Street Unit Suite 330,Amherst,NY,14226,+17168376863,,,node,8365956616,https://www.openstreetmap.org/node/8365956616,42.9594638,-78.8184217,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
China Star,amenity:restaurant,600 West Main Street,Rochester,NY,14608,+1-585-266-8888,,,way,1469230049,https://www.openstreetmap.org/way/1469230049,43.1522596,-77.6286985,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
China Star Restaurant,amenity:restaurant,1565 Hertel Avenue,Buffalo,NY,14216,+17168338339,,,node,2671953956,https://www.openstreetmap.org/node/2671953956,42.9475071,-78.8501808,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chinese Kitchen,amenity:restaurant,224 Elmwood Avenue,Buffalo,NY,14222,+17168855121,,,node,9360047433,https://www.openstreetmap.org/node/9360047433,42.9030748,-78.8773244,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chopafellaz,shop:hairdresser,3251 Bailey Avenue,Buffalo,NY,14215,+17168328484,,,way,1020802120,https://www.openstreetmap.org/way/1020802120,42.9433319,-78.8133798,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
City Nails,shop:beauty,1215 Hertel Avenue,Buffalo,NY,14216,+17168732443,,,node,9295308231,https://www.openstreetmap.org/node/9295308231,42.9476135,-78.8631988,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Clarence Bowling Academy,leisure:bowling_alley,10718 Main Street,Clarence,NY,14031,+1-716-759-6701,,,way,1060248399,https://www.openstreetmap.org/way/1060248399,42.981142,-78.5886479,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Clarence Deli,shop:deli,10633 Main Street,Clarence,NY,14031,+1-716-759-6255,,,way,1060248388,https://www.openstreetmap.org/way/1060248388,42.9803421,-78.5916063,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Classy Chassy Laser Car Wash,amenity:car_wash,825 East Ridge Road,Rochester,NY,14621,+1 866-597-9448,,,node,6056108894,https://www.openstreetmap.org/node/6056108894,43.1963283,-77.5960007,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
ClearCove Systems Inc,office:company,7910 Rae Boulevard,Victor,NY,14564,+1 585-267-5004,,,way,661506803,https://www.openstreetmap.org/way/661506803,43.0003248,-77.4721862,Ontario County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cloud 9 Smokes & Vapes,shop:e-cigarette,1594 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 831 8273,,,node,9802611173,https://www.openstreetmap.org/node/9802611173,42.9977784,-78.8228893,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cloud Shisha,shop:hookah,1181 Hertel Avenue,Buffalo,NY,14216,+17165332331,,,node,9295373744,https://www.openstreetmap.org/node/9295373744,42.9476277,-78.864514,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Colosso Taco,amenity:restaurant,66 Main Street,Tonawanda,NY,14150,+1-716-692-5927,,,node,7209030176,https://www.openstreetmap.org/node/7209030176,43.018811,-78.8786167,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Consumers Beverages,shop:beverages,3160 Niagara Falls Boulevard,Amherst,NY,14228,+1 716 260 1338,,,node,8977716033,https://www.openstreetmap.org/node/8977716033,43.0404448,-78.8248759,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Country Corner Store,shop:convenience,8449 Ridge Road,Alton,NY,14413,+1-3154833663,,,node,5360746093,https://www.openstreetmap.org/node/5360746093,43.2118481,-76.9826042,Wayne County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
CountryMax,shop:country_store,4101 Lakeville Road,Geneseo,NY,14454,+15854479021,,,node,8805449458,https://www.openstreetmap.org/node/8805449458,42.7971376,-77.7960786,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cozy Corner,amenity:restaurant,690 East Main Street,Springville,NY,14141,+1-716-592-9545,,,way,630674618,https://www.openstreetmap.org/way/630674618,42.5086122,-78.6416513,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Creekside Dentistry,amenity:dentist,2825 Niagara Falls Boulevard Unit 170,Buffalo,NY,14228,+1 716 691 8394,,,node,8999646990,https://www.openstreetmap.org/node/8999646990,43.0318854,-78.8216265,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cut & Edge 716,shop:hairdresser,1864 Colvin Boulevard,Tonawanda,NY,14150,+1 716 837 2959,,,node,10143310645,https://www.openstreetmap.org/node/10143310645,42.988391,-78.8532628,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cuzin's Barbershop,shop:hairdresser,168 Elmwood Avenue,Buffalo,NY,14201,+17167838270,,,node,9360047465,https://www.openstreetmap.org/node/9360047465,42.9015184,-78.8773075,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dansville Mini Mart,shop:convenience,119 Main Street,Dansville,NY,14437,+1-585-335-2999,,,way,556529184,https://www.openstreetmap.org/way/556529184,42.5591886,-77.6946136,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dashh's Markets Inc & Companies,shop:supermarket,1726 Hertel Avenue,Buffalo,NY,14216,+1-716-834-0246,,,way,1006820428,https://www.openstreetmap.org/way/1006820428,42.947862,-78.8444777,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"David P. Croglio, DDS",amenity:dentist,2503 Kensington Avenue,Buffalo,NY,14226,+1-716-839-2820,,,way,894068365,https://www.openstreetmap.org/way/894068365,42.9574604,-78.7687684,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dawn's Candy Shack,shop:confectionery,6045 Goodrich Road,Clarence Center,NY,14032,+1-716-368-2552,,,way,1355432149,https://www.openstreetmap.org/way/1355432149,43.0118319,-78.6369012,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
DB's Liquor & Wines,shop:alcohol,2333 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716 260 2793,,,node,9118610625,https://www.openstreetmap.org/node/9118610625,43.0179332,-78.8218055,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Del Denby Tavern,amenity:pub,1553 Hertel Avenue,Buffalo,NY,14216,+17168375360,,,node,9291386851,https://www.openstreetmap.org/node/9291386851,42.9475223,-78.8505286,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Denny's,amenity:restaurant,8020 Niagara Falls Boulevard,Niagara Falls,NY,14304,+1-716-283-5560,,,way,664200002,https://www.openstreetmap.org/way/664200002,43.0896595,-78.9724072,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Doc's Tackle LLC,shop:fishing,5772 Big Tree Road,Lakeville,NY,14480,+15853462278,,,way,827715984,https://www.openstreetmap.org/way/827715984,42.836066,-77.706368,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Doll Electric,craft:electrician,661 Main Street,Tonawanda,NY,14150,+17166960318,,,way,938591112,https://www.openstreetmap.org/way/938591112,43.0019843,-78.8812187,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dr. Alexandra Fotiou,amenity:doctors,2273 South Clinton Avenue,Rochester,NY,14618,+1 585-473-8950,,,node,6004020101,https://www.openstreetmap.org/node/6004020101,43.1142252,-77.597787,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dr. Victoria Korth,amenity:doctors,2273 South Clinton Avenue,Rochester,NY,14618,+1 585-473-8950,,,node,6004020100,https://www.openstreetmap.org/node/6004020100,43.114261,-77.5977821,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Driftwood Motel,tourism:motel,2754 Niagara Falls Boulevard,Niagara Falls,NY,14304,+1 716-692-6650,,,node,8815847700,https://www.openstreetmap.org/node/8815847700,43.0902992,-78.8972853,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Drop & Go,shop:dry_cleaning,2007 Route 104,Ontario,NY,14519,+1 315-524-5804,,,node,5071560121,https://www.openstreetmap.org/node/5071560121,43.2278952,-77.284264,Wayne County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Drydock Marine,shop:boat,7171 Transit Road,East Amherst,NY,14051,+17166887144,,,way,1396157604,https://www.openstreetmap.org/way/1396157604,43.0452143,-78.6962966,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Early Bird Childcare Center,amenity:childcare,243 West Main Street,Springville,NY,14141,+1-716-592-3868,,,node,5949004176,https://www.openstreetmap.org/node/5949004176,42.5094056,-78.6765185,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
EG Tax,office:tax_advisor,3498 Sheridan Drive,Amherst,NY,14226,+1-716-446-0578,,,node,8441871593,https://www.openstreetmap.org/node/8441871593,42.9800158,-78.8035892,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Eggsperience Vasilis Main St,amenity:restaurant,1526 Main Street,Buffalo,NY,14209,+17164363533,,,node,9449146004,https://www.openstreetmap.org/node/9449146004,42.9152424,-78.8647643,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
El Rinconsito Caribeño,amenity:restaurant,478 Portland Avenue,Rochester,NY,14605,+1 585-434-2106,,,way,776865187,https://www.openstreetmap.org/way/776865187,43.1744723,-77.5915178,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elegance African Hair Braiding,shop:hairdresser,3389 Bailey Avenue,Buffalo,NY,14215,+1-716-799-7646,,,node,9429983577,https://www.openstreetmap.org/node/9429983577,42.9472292,-78.8135394,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elite Towing,shop:towing,1654 Main Street,Buffalo,NY,14209,+17163812811,,,node,9447060953,https://www.openstreetmap.org/node/9447060953,42.9181176,-78.8619672,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elmo's,amenity:bar,2349 Millersport Highway,Erie County,NY,,+1 716-688-7237,,,node,1612106151,https://www.openstreetmap.org/node/1612106151,43.0141142,-78.768637,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elmwood Beverage Center,shop:convenience,161 Elmwood Avenue,Buffalo,NY,14201,+17168821380,,,node,9369381479,https://www.openstreetmap.org/node/9369381479,42.9014648,-78.8768944,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elmwood Discount Liquor and Wine,shop:alcohol,171 Elmwood Avenue,Buffalo,NY,14201,+17168821700,,,node,9369381472,https://www.openstreetmap.org/node/9369381472,42.9016779,-78.8770067,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elmwood Express Minimart,shop:convenience,460 Elmwood Avenue,Buffalo,NY,14222,+1-716-885-6191,,,way,1014241974,https://www.openstreetmap.org/way/1014241974,42.9093649,-78.8773789,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
EMG Spine & Sports Medicine,healthcare:physiotherapist,80 Mead Street,North Tonawanda,NY,14120,+1 716 692 4020,,,node,10174363316,https://www.openstreetmap.org/node/10174363316,43.0364997,-78.8608642,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Empire Therapeutic Massage Center,shop:massage,700 North Winton Road,Rochester,NY,14609,+1 585-730-8730,,,node,8785857151,https://www.openstreetmap.org/node/8785857151,43.1589147,-77.5477228,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Epic Hair Salon,shop:hairdresser,1596 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 424 1488,,,node,9802611174,https://www.openstreetmap.org/node/9802611174,42.9978319,-78.8228866,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Euro Deli & Gifts,shop:deli,2321 Millersport Highway,Erie County,NY,,+1 716-688-1459,,,node,12043863218,https://www.openstreetmap.org/node/12043863218,43.0133736,-78.768983,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Euro Taste Deli Foods,shop:deli,2858 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716 693 0507,,,node,10195625151,https://www.openstreetmap.org/node/10195625151,43.0324196,-78.8227128,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Everything Beauty Salon and Spa,shop:hairdresser,156 Elmwood Avenue,Buffalo,NY,14201,+17164822159,,,node,9360209435,https://www.openstreetmap.org/node/9360209435,42.9012449,-78.8772972,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
EXL Hair & Nails,shop:beauty,285 West Ferry Street,Buffalo,NY,14213,+1-716-602-1363,,,node,12549696083,https://www.openstreetmap.org/node/12549696083,42.915165,-78.8910861,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Exodus Gardens Funeral Home,shop:funeral_directors,605 Masten Avenue,Buffalo,NY,14209,+17168860513,,,way,1024498307,https://www.openstreetmap.org/way/1024498307,42.918912,-78.8590388,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Exotic Nails,shop:beauty,2141 Elmwood Avenue Unit 500,Buffalo,NY,14207,+17164470592,,,node,9077603411,https://www.openstreetmap.org/node/9077603411,42.9559853,-78.8773526,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
EXPO Market on Hertel,amenity:restaurant,1488 Hertel Avenue,Buffalo,NY,14216,+1-716-931-9680,,,node,6635120180,https://www.openstreetmap.org/node/6635120180,42.9479972,-78.8528047,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Extra Space Storage,shop:storage_rental,2681 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716 691 4565,,,way,972960617,https://www.openstreetmap.org/way/972960617,43.0267195,-78.821107,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Eyewhere Unlimited,shop:optician,1480 Hertel Avenue,Buffalo,NY,14216,+17168343511,,,node,2607334303,https://www.openstreetmap.org/node/2607334303,42.9478497,-78.8533457,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"Fair Price Halal Meat, Grocery & Food",shop:supermarket,3323 Bailey Avenue,Buffalo,NY,14215,+17165361890,,,node,9424920570,https://www.openstreetmap.org/node/9424920570,42.9454792,-78.8135361,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Famous Footwear,shop:shoes,2101 Elmwood Avenue Unit Suite 1000,Buffalo,NY,14207,+1 716 515 4415,,,node,9077603393,https://www.openstreetmap.org/node/9077603393,42.9543736,-78.8778503,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Fashion City,shop:clothes,3112 Bailey Avenue,Buffalo,NY,14215,+17168352819,,,way,1020504153,https://www.openstreetmap.org/way/1020504153,42.9395934,-78.8140184,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Fashion Nails,shop:beauty,1606 Niagara Falls Boulevard Unit B,Tonawanda,NY,14150,+1 716 837 8452,,,node,9802611187,https://www.openstreetmap.org/node/9802611187,42.9983208,-78.8228678,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Flowers & Fountains,shop:florist,1350 Pittsford-Mendon Road,Mendon,NY,14506,+1 585-624-2060,,,way,1018407554,https://www.openstreetmap.org/way/1018407554,43.0006031,-77.5046684,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Frankies Donuts and Pizza,amenity:fast_food,717 Portage Rd,Niagara County,NY,,+1 716-285-7494,,,node,11235183158,https://www.openstreetmap.org/node/11235183158,43.0953135,-79.0485941,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Friendly Nails,shop:beauty,3303 Bailey Avenue,Buffalo,NY,14215,+17164460230,,,way,1020802124,https://www.openstreetmap.org/way/1020802124,42.9448404,-78.8133092,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Fumo Vapes Smoke & Vape Shop,shop:e-cigarette,332 Kenmore Avenue,Tonawanda,NY,14223,+17165510103,,,node,9391201983,https://www.openstreetmap.org/node/9391201983,42.9579606,-78.8301611,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Galene,amenity:restaurant,5870 Big Tree Road,Lakeville,NY,14480,+15853467231,,,way,827714990,https://www.openstreetmap.org/way/827714990,42.8347085,-77.7013585,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gallea's,shop:florist,2832 Clover Street,Pittsford,NY,14534,+1 585-586-3017,,,node,6590955484,https://www.openstreetmap.org/node/6590955484,43.0881504,-77.5424933,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gary's Service,shop:car_repair,265 Main Street,Tonawanda,NY,14150,+1-716-692-1298,,,way,931550267,https://www.openstreetmap.org/way/931550267,43.0123951,-78.8792511,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gasport Community Dental Care PLLC,amenity:dentist,8403 Rochester Road Unit 2,Gasport,NY,14067,+1-716-772-5590,,,way,606426882,https://www.openstreetmap.org/way/606426882,43.1956833,-78.5737091,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
GEICO,office:insurance,3618 Delaware Avenue Unit 400,Buffalo,NY,14217,+1 716 517 3300,,,node,9627479452,https://www.openstreetmap.org/node/9627479452,42.9825582,-78.8729706,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Geneseo Auto Parts,shop:car_parts,4143 Lakeville Road,Geneseo,NY,14454,+15852432620,,,node,8805448942,https://www.openstreetmap.org/node/8805448942,42.7971264,-77.79532,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Geneseo Hardware & Rental,shop:hardware,4364 Pondside Plaza,Geneseo,NY,14454,+15852432510,,,node,8805448970,https://www.openstreetmap.org/node/8805448970,42.8006468,-77.7797406,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
George Anthony's Studio,craft:photographer,2185 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716 440 9493,,,node,9120777743,https://www.openstreetmap.org/node/9120777743,43.0140428,-78.8218266,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Giovanni's Hair Fashions,shop:hairdresser,4228 Delaware Avenue,Tonawanda,NY,14150,+1 716 693 2267,,,node,10065298677,https://www.openstreetmap.org/node/10065298677,42.9994819,-78.8755559,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Go Gas Outlet,amenity:fuel,1421 Main Street,Buffalo,NY,14209,+17168861869,,,way,1024785997,https://www.openstreetmap.org/way/1024785997,42.9122428,-78.8653045,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gold Circle Optical,shop:optician,1606 Niagara Falls Boulevard Unit A,Tonawanda,NY,14150,+1 716 834 6666,,,node,9802611186,https://www.openstreetmap.org/node/9802611186,42.998271,-78.8228692,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Good Looks,shop:hairdresser,1685 Hertel Avenue,Buffalo,NY,14216,+17164477878,,,node,9289229499,https://www.openstreetmap.org/node/9289229499,42.9474766,-78.8455828,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Good Spirits Liquors,shop:alcohol,4275 Genesee Valley Plaza,Geneseo,NY,14454,+1 585-243-0220,,,node,8805445997,https://www.openstreetmap.org/node/8805445997,42.7968015,-77.7849604,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Goodwill,shop:charity,4119 Lakeville Road,Geneseo,NY,14454,+18004663945,,,node,8805448404,https://www.openstreetmap.org/node/8805448404,42.7971332,-77.7957789,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gooney Village,amenity:restaurant,1930 State Highway 96,Phelps,NY,14532,+1 315-548-3870,,,node,11057356326,https://www.openstreetmap.org/node/11057356326,42.9624588,-77.0857412,Ontario County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gordon P Tussing DO PC,amenity:doctors,4643 Main Street,Buffalo,NY,14226,+1-716-839-9113,,,way,915644193,https://www.openstreetmap.org/way/915644193,42.9615887,-78.7791426,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Goyette's Barber Shop,shop:hairdresser,14 Winspear Avenue,Buffalo,NY,14214,+17169550858,,,node,9298883491,https://www.openstreetmap.org/node/9298883491,42.9513045,-78.8250373,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Great Clips,shop:hairdresser,4273 Genesee Valley Plaza,Geneseo,NY,14454,+1 585-245-9076,,,node,8805446815,https://www.openstreetmap.org/node/8805446815,42.7967558,-77.7850317,Livingston County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Great Lakes Dental Group,amenity:dentist,5919 South Transit Road,Lockport,NY,14094,+1-716-433-6240,,,node,8168329946,https://www.openstreetmap.org/node/8168329946,43.1355811,-78.6947235,Niagara County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Greeks & Sneaks,shop:books,3230 Main Street,Buffalo,NY,14214,+17168334913,,,node,9295565847,https://www.openstreetmap.org/node/9295565847,42.9520275,-78.825235,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Grovers Bar & Grill,amenity:restaurant,9160 Transit Road,East Amherst,NY,14051,+1-716-636-1803,,,node,2355583376,https://www.openstreetmap.org/node/2355583376,43.0184654,-78.6972637,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time
